Trimestre,Activos,Var. Activos trimestre anterior,Var. Activos trimestre anterior (%),Ocupados,Var. Ocupados trimestre anterior,Ocupados sobre total (%),Var. ocupados trimestre anterior (%),Parados,Var. Parados trimestre anterior,Parados sobre total (%),Var. parados trimestre anterior (%),Tasa de actividad (%),Var. Tasa de Actividad trimestre anterior (%)
2008T3,23157.10,124.50,0.54,20556.40,-90.50,88.77,-0.44,2600.70,215.00,11.23,8.27,60.20,0.10
2008T2,23032.60,222.20,0.96,20646.90,26.90,89.64,0.13,2385.70,195.20,10.36,8.18,60.10,0.40
2008T1,22810.40,150.50,0.66,20620.00,-97.90,90.40,-0.47,2190.50,248.50,9.60,11.34,59.70,0.20
2007T4,22659.90,100.30,0.44,20717.90,-35.50,91.43,-0.17,1942.00,135.80,8.57,6.99,59.50,0.00
2007T3,22559.60,205.50,0.91,20753.40,172.50,91.99,0.83,1806.20,33.00,8.01,1.83,59.50,0.30
2007T2,22354.10,223.30,1.00,20580.90,313.40,92.07,1.52,1773.20,-90.00,7.93,-5.08,59.20,0.30
2007T1,22130.80,116.00,0.52,20267.50,72.10,91.58,0.36,1863.20,43.80,8.42,2.35,58.90,0.00
2006T4,22014.80,157.00,0.71,20195.40,104.40,91.74,0.52,1819.40,52.50,8.26,2.89,58.90,0.20
2006T3,21857.80,131.80,0.60,20091.00,199.40,91.92,0.99,1766.90,-67.50,8.08,-3.82,58.70,0.10
2006T2,21726.00,204.70,0.94,19891.60,313.20,91.56,1.57,1834.40,-108.40,8.44,-5.91,58.60,0.30
2006T1,21521.30,151.80,0.71,19578.40,69.20,90.97,0.35,1942.80,82.50,9.03,4.25,58.30,0.20
2005T4,21369.50,163.90,0.77,19509.20,87.10,91.29,0.45,1860.30,76.80,8.71,4.13,58.10,0.20
2005T3,21205.60,75.90,0.36,19422.10,261.50,91.59,1.35,1783.50,-185.60,8.41,-10.41,57.90,0.00
2005T2,21129.70,272.30,1.29,19160.60,424.50,90.68,2.22,1969.10,-152.20,9.32,-7.73,57.90,0.50
2005T1,20857.40,189.70,0.91,18736.10,245.30,89.83,1.31,2121.30,-55.60,10.17,-2.62,57.40,0.30
2004T4,20667.70,178.80,0.87,18490.80,201.70,89.47,1.09,2176.90,-22.90,10.53,-1.05,57.10,0.20
2004T3,20488.90,222.40,1.09,18289.10,270.20,89.26,1.48,2199.80,-47.80,10.74,-2.17,56.90,0.30
2004T2,20266.50,186.50,0.92,18018.90,248.70,88.91,1.38,2247.60,-62.20,11.09,-2.77,56.60,0.40
2004T1,20080.00,62.90,0.31,17770.20,29.70,88.50,0.17,2309.80,33.10,11.50,1.43,56.20,-0.10
2003T4,20017.10,123.60,0.62,17740.50,94.50,88.63,0.53,2276.70,29.20,11.37,1.28,56.30,0.10
2003T3,19893.50,254.30,1.28,17646.00,222.80,88.70,1.26,2247.50,31.50,11.30,1.40,56.20,0.50
2003T2,19639.20,218.00,1.11,17423.20,330.50,88.72,1.90,2216.00,-112.50,11.28,-5.08,55.70,0.40
2003T1,19421.20,196.90,1.01,17092.70,100.80,88.01,0.59,2328.50,96.10,11.99,4.13,55.30,0.30
2002T4,19224.30,109.00,0.57,16991.90,72.60,88.39,0.43,2232.40,36.40,11.61,1.63,55.00,0.10
2002T3,19115.30,245.10,1.28,16919.30,152.40,88.51,0.90,2196.00,92.70,11.49,4.22,54.90,0.40
2002T2,18870.20,235.10,1.25,16766.90,284.60,88.85,1.70,2103.30,-49.50,11.15,-2.35,54.50,0.40
2002T1,18635.10,343.10,1.84,16482.30,134.10,88.45,0.81,2152.80,209.00,11.55,9.71,54.10,0.70
2001T4,18292.00,128.00,0.70,16348.20,53.90,89.37,0.33,1943.80,74.10,10.63,3.81,53.40,0.20
2001T3,18164.00,231.90,1.28,16294.30,218.00,89.71,1.34,1869.70,13.90,10.29,0.74,53.20,0.50
2001T2,17932.10,117.40,0.65,16076.30,210.00,89.65,1.31,1855.80,-92.50,10.35,-4.98,52.70,0.10
2001T1,17814.70,,,15866.30,,89.06,,1948.30,,10.94,,52.60,
